ID;Date;Amount;SumS
39296;27.02.2025;14;5 765
13450;14.02.2025;15;2 288
32666;02.02.2025;3;1 383
38815;17.02.2025;3;1 009
36296;21.02.2025;39;3 837
39032;16.02.2025;3;1 206
21995;17.02.2025;8;1 036
27895;03.02.2025;1;200
40343;13.02.2025;1;125
39186;28.02.2025;10;9 409
37935;20.02.2025;3;1 428
40220;27.02.2025;25;5 141
17331;17.02.2025;46;7 291
40220;10.02.2025;4;827
32214;09.02.2025;4;1 444
36295;17.02.2025;15;1 867
39976;21.02.2025;11;4 945
17328;02.02.2025;1;164
36072;28.02.2025;1;2 571
39031;13.02.2025;29;11 290
38699;28.02.2025;14;7 223
39176;02.02.2025;6;1 208
39175;10.02.2025;18;3 237
39187;03.02.2025;3;1 254
38785;13.02.2025;17;6 791
1805;02.02.2025;7;3 604
37477;20.02.2025;8;2 364
11007;21.02.2025;22;12 941
40217;10.02.2025;10;1 988
9423;15.02.2025;70;9 257
8675;21.02.2025;1;133
39713;02.02.2025;48;6 111
39187;20.02.2025;31;13 147
39061;17.02.2025;7;19 548
39717;21.02.2025;101;12 776
37732;28.02.2025;4;1 680
30902;09.02.2025;6;2 397
37964;21.02.2025;22;9 339
22219;09.02.2025;6;1 112
31592;03.02.2025;11;1 897
32666;28.02.2025;1;370
38767;10.02.2025;1;272
17333;13.02.2025;69;10 655
35575;01.02.2025;5;3 710
17328;28.02.2025;11;3 236
37996;21.02.2025;1;200
22217;28.02.2025;108;17 769
37887;16.02.2025;1;274
36557;13.02.2025;18;5 437
38538;09.02.2025;1;467
37042;20.02.2025;6;436
38645;09.02.2025;10;4 450
37998;20.02.2025;13;3 361
33419;10.02.2025;21;2 614
4295;14.02.2025;3;1 274
39826;17.02.2025;8;2 596
39248;14.02.2025;1;274
40052;22.02.2025;3;599
8673;16.02.2025;42;5 439
37996;15.02.2025;3;599
32215;10.02.2025;25;4 112
39230;15.02.2025;32;11 581
39185;27.02.2025;11;4 513
37735;02.02.2025;14;1 813
39031;16.02.2025;11;4 119
17333;16.02.2025;27;4 449
38235;14.02.2025;1;425
37176;09.02.2025;3;1 927
39348;17.02.2025;1;190
35756;28.02.2025;17;5 821
37474;13.02.2025;1;200
38918;09.02.2025;1;338
5884;14.02.2025;34;10 353
31419;13.02.2025;41;12 501
39705;17.02.2025;1;129
39230;21.02.2025;43;14 665
38815;14.02.2025;10;4 186
37890;28.02.2025;8;9 341
31420;14.02.2025;15;4 492
9429;03.02.2025;10;1 281
24752;10.02.2025;77;13 017
31167;14.02.2025;1;152
9423;09.02.2025;8;1 124
32823;09.02.2025;1;103
32215;27.02.2025;14;2 236
35777;09.02.2025;1;317
37932;10.02.2025;1;274
13449;27.02.2025;64;8 371
17358;21.02.2025;1;164
37998;17.02.2025;3;598
39709;14.02.2025;24;2 962
30622;14.02.2025;3;1 725
39186;02.02.2025;3;1 235
33088;17.02.2025;3;389
37042;03.02.2025;25;1 786
35309;03.02.2025;10;2 476
36714;21.02.2025;1;365
39345;03.02.2025;11;2 217
40340;03.02.2025;1;146
31420;28.02.2025;15;7 760
39976;15.02.2025;3;1 533
40051;27.02.2025;24;4 927
36783;21.02.2025;15;7 868
38816;09.02.2025;10;3 245
38235;17.02.2025;6;2 547
9429;20.02.2025;31;4 155
40219;03.02.2025;1;170
39705;20.02.2025;8;1 147
39082;16.02.2025;11;1 830
39027;27.02.2025;1;549
30737;27.02.2025;10;4 013
40052;02.02.2025;7;1 397
39178;21.02.2025;1;215
17331;20.02.2025;31;5 178
34245;10.02.2025;22;9 842
32822;20.02.2025;1;100
36297;16.02.2025;13;1 254
35575;09.02.2025;30;20 340
